,market,platform,from,to,transition_probability,weight,group
41,market1,IOS APP,P1,P14,0.120852335,0.033440788,group3
42,market1,IOS APP,P1,P22,0.054568328,0.033440788,group3
43,market1,IOS APP,P1,P19,0.005897154,0.033440788,group3
44,market1,IOS APP,P1,P12,0.016276144,0.033440788,group3
45,market1,IOS APP,P1,P4,0.013602768,0.033440788,group3
46,market1,IOS APP,P1,P9,0.004560465,0.033440788,group3
47,market1,IOS APP,P1,P15,0.001179431,0.033440788,group3
48,market1,IOS APP,P1,P8,0.003223777,0.033440788,group3
49,market1,IOS APP,P1,P3,0.000786287,0.033440788,group3
50,market1,IOS APP,P1,P18,0.000393144,0.033440788,group3
51,market1,IOS APP,P1,P23,0.000550401,0.033440788,group3
52,market1,IOS APP,P1,B2,7.86E-05,0.033440788,group3
53,market1,IOS APP,P1,P16,0.000157257,0.033440788,group3
54,market1,IOS APP,P1,P20,7.86E-05,0.033440788,group3
55,market1,IOS APP,P1,P13,7.86E-05,0.033440788,group3
56,market1,IOS APP,B2,AppClose,0.628431859,0.239107685,group2
57,market1,IOS APP,B2,P2,0.19605026,0.239107685,group2
58,market1,IOS APP,B2,P3,0.058593036,0.239107685,group2
59,market1,IOS APP,B2,P4,0.065175936,0.239107685,group2
60,market1,IOS APP,B2,P19,0.029309579,0.239107685,group2
61,market1,IOS APP,B2,P15,0.00817638,0.239107685,group2
62,market1,IOS APP,B2,P20,0.005146156,0.239107685,group2
63,market1,IOS APP,B2,P1,0.002115932,0.239107685,group2
64,market1,IOS APP,B2,P23,0.00109715,0.239107685,group2
65,market1,IOS APP,B2,P14,0.002716752,0.239107685,group2
66,market1,IOS APP,B2,P10,0.000914292,0.239107685,group2
67,market1,IOS APP,B2,P8,0.000835924,0.239107685,group2
68,market1,IOS APP,B2,P24,0.00010449,0.239107685,group2
69,market1,IOS APP,B2,P9,0.000365717,0.239107685,group2
70,market1,IOS APP,B2,P16,0.000261226,0.239107685,group2
71,market1,IOS APP,B2,P12,0.00010449,0.239107685,group2
72,market1,IOS APP,B2,P18,0.000313471,0.239107685,group2
73,market1,IOS APP,B2,P21,0.000156736,0.239107685,group2
74,market1,IOS APP,B2,P22,0.00010449,0.239107685,group2
75,market1,IOS APP,B2,B3,2.61E-05,0.239107685,group2
76,market1,IOS APP,P2,B2,0.66977495,0.138451385,group4
77,market1,IOS APP,P2,AppClose,0.180951477,0.138451385,group4
78,market1,IOS APP,P2,P4,0.052663565,0.138451385,group4
79,market1,IOS APP,P2,P3,0.052663565,0.138451385,group4
80,market1,IOS APP,P2,P19,0.024290191,0.138451385,group4
81,market1,IOS APP,P2,P15,0.006969898,0.138451385,group4
82,market1,IOS APP,P2,P20,0.006628051,0.138451385,group4
83,market1,IOS APP,P2,P23,0.000987561,0.138451385,group4
84,market1,IOS APP,P2,P1,0.001728231,0.138451385,group4
85,market1,IOS APP,P2,P14,0.001025544,0.138451385,group4
86,market1,IOS APP,P2,P8,0.000398823,0.138451385,group4
87,market1,IOS APP,P2,P10,0.00085462,0.138451385,group4
88,market1,IOS APP,P2,P21,0.000151932,0.138451385,group4
89,market1,IOS APP,P2,P22,5.70E-05,0.138451385,group4
90,market1,IOS APP,P2,P9,0.000360839,0.138451385,group4
91,market1,IOS APP,P2,P12,5.70E-05,0.138451385,group4
92,market1,IOS APP,P2,P18,0.000227899,0.138451385,group4
93,market1,IOS APP,P2,P24,7.60E-05,0.138451385,group4
94,market1,IOS APP,P2,P17,3.80E-05,0.138451385,group4
95,market1,IOS APP,P2,P16,9.50E-05,0.138451385,group4
96,market1,IOS APP,P3,AppClose,0.401167802,0.283699785,group4
97,market1,IOS APP,P3,P4,0.236461374,0.283699785,group4
98,market1,IOS APP,P3,P2,0.214180453,0.283699785,group4
99,market1,IOS APP,P3,P19,0.070874461,0.283699785,group4
100,market1,IOS APP,P3,P15,0.038120395,0.283699785,group4
101,market1,IOS APP,P3,B2,0.00921266,0.283699785,group4
102,market1,IOS APP,P3,P1,0.004559989,0.283699785,group4
103,market1,IOS APP,P3,P20,0.00300292,0.283699785,group4
104,market1,IOS APP,P3,P23,0.002048288,0.283699785,group4
105,market1,IOS APP,P3,P14,0.003531211,0.283699785,group4
106,market1,IOS APP,P3,P8,0.004958524,0.283699785,group4
107,market1,IOS APP,P3,P10,0.004912183,0.283699785,group4
108,market1,IOS APP,P3,P9,0.003318041,0.283699785,group4
109,market1,IOS APP,P3,P16,0.000176097,0.283699785,group4
110,market1,IOS APP,P3,P18,0.000954632,0.283699785,group4
111,market1,IOS APP,P3,P24,0.00021317,0.283699785,group4
112,market1,IOS APP,P3,P21,0.000852681,0.283699785,group4
113,market1,IOS APP,P3,P22,0.001139997,0.283699785,group4
114,market1,IOS APP,P3,P7,9.27E-06,0.283699785,group4
115,market1,IOS APP,P3,P17,0.000120488,0.283699785,group4
116,market1,IOS APP,P3,P12,0.000166829,0.283699785,group4
117,market1,IOS APP,P3,B3,9.27E-06,0.283699785,group4
118,market1,IOS APP,P3,P6,9.27E-06,0.283699785,group4
119,market1,IOS APP,P4,AppClose,0.503123288,0.743793287,group4
120,market1,IOS APP,P4,P3,0.292843129,0.743793287,group4
121,market1,IOS APP,P4,P19,0.078730888,0.743793287,group4
122,market1,IOS APP,P4,P2,0.034322581,0.743793287,group4
123,market1,IOS APP,P4,P15,0.015416703,0.743793287,group4
124,market1,IOS APP,P4,P24,0.009947857,0.743793287,group4
125,market1,IOS APP,P4,P1,0.011054353,0.743793287,group4
126,market1,IOS APP,P4,P10,0.020355281,0.743793287,group4
127,market1,IOS APP,P4,P23,0.003185152,0.743793287,group4
128,market1,IOS APP,P4,P20,0.003612903,0.743793287,group4
129,market1,IOS APP,P4,P14,0.006494034,0.743793287,group4
130,market1,IOS APP,P4,B2,0.001530711,0.743793287,group4
131,market1,IOS APP,P4,P18,0.001947857,0.743793287,group4
132,market1,IOS APP,P4,P8,0.006950066,0.743793287,group4
133,market1,IOS APP,P4,P12,0.000410075,0.743793287,group4
134,market1,IOS APP,P4,P16,0.000314627,0.743793287,group4
135,market1,IOS APP,P4,P9,0.005224923,0.743793287,group4
136,market1,IOS APP,P4,P21,0.002524083,0.743793287,group4
137,market1,IOS APP,P4,P17,0.00054441,0.743793287,group4
138,market1,IOS APP,P4,P22,0.001385771,0.743793287,group4
139,market1,IOS APP,P4,P6,3.54E-06,0.743793287,group4
140,market1,IOS APP,P4,P13,7.07E-05,0.743793287,group4
141,market1,IOS APP,P4,P7,7.07E-06,0.743793287,group4
142,market1,IOS APP,P5,AppClose,0.243137255,0.002011496,group4
143,market1,IOS APP,P5,P6,0.394771242,0.002011496,group4
144,market1,IOS APP,P5,B3,0.08496732,0.002011496,group4
145,market1,IOS APP,P5,P7,0.173856209,0.002011496,group4
146,market1,IOS APP,P5,P23,0.040522876,0.002011496,group4
147,market1,IOS APP,P5,P19,0.013071895,0.002011496,group4
148,market1,IOS APP,P5,P11,0.02745098,0.002011496,group4
149,market1,IOS APP,P5,P15,0.010457516,0.002011496,group4
150,market1,IOS APP,P5,P20,0.002614379,0.002011496,group4
151,market1,IOS APP,P5,P14,0.002614379,0.002011496,group4
152,market1,IOS APP,P5,P18,0.00130719,0.002011496,group4
153,market1,IOS APP,P5,P10,0.002614379,0.002011496,group4
154,market1,IOS APP,P5,P24,0.00130719,0.002011496,group4
155,market1,IOS APP,P5,P1,0.00130719,0.002011496,group4
156,market1,IOS APP,P6,AppClose,0.215564738,0.007635796,group4
157,market1,IOS APP,P6,B3,0.100895317,0.007635796,group4
158,market1,IOS APP,P6,P7,0.424586777,0.007635796,group4
159,market1,IOS APP,P6,P5,0.163911846,0.007635796,group4
160,market1,IOS APP,P6,P23,0.03546832,0.007635796,group4
161,market1,IOS APP,P6,P19,0.013774105,0.007635796,group4
162,market1,IOS APP,P6,P15,0.007231405,0.007635796,group4
163,market1,IOS APP,P6,P1,0.004132231,0.007635796,group4
164,market1,IOS APP,P6,P11,0.021694215,0.007635796,group4
165,market1,IOS APP,P6,P9,0.000344353,0.007635796,group4
166,market1,IOS APP,P6,P4,0.002754821,0.007635796,group4
167,market1,IOS APP,P6,P10,0.001033058,0.007635796,group4
168,market1,IOS APP,P6,P14,0.003787879,0.007635796,group4
169,market1,IOS APP,P6,P16,0.00137741,0.007635796,group4
170,market1,IOS APP,P6,P20,0.00137741,0.007635796,group4
171,market1,IOS APP,P6,P8,0.000344353,0.007635796,group4
172,market1,IOS APP,P6,P18,0.000688705,0.007635796,group4
173,market1,IOS APP,P6,P21,0.000344353,0.007635796,group4
174,market1,IOS APP,P6,P24,0.000688705,0.007635796,group4
175,market1,IOS APP,B3,AppClose,0.797186401,0.004485767,group2
176,market1,IOS APP,B3,P7,0.072098476,0.004485767,group2
177,market1,IOS APP,B3,P23,0.029308324,0.004485767,group2
178,market1,IOS APP,B3,P6,0.045134818,0.004485767,group2
179,market1,IOS APP,B3,P15,0.008792497,0.004485767,group2
180,market1,IOS APP,B3,P5,0.006447831,0.004485767,group2
181,market1,IOS APP,B3,P19,0.017584994,0.004485767,group2
182,market1,IOS APP,B3,P20,0.004103165,0.004485767,group2
183,market1,IOS APP,B3,P16,0.000586166,0.004485767,group2
184,market1,IOS APP,B3,P11,0.012895662,0.004485767,group2
185,market1,IOS APP,B3,P1,0.003516999,0.004485767,group2
186,market1,IOS APP,B3,P10,0.001172333,0.004485767,group2
187,market1,IOS APP,B3,P14,0.000586166,0.004485767,group2
188,market1,IOS APP,B3,P18,0.000586166,0.004485767,group2
189,market1,IOS APP,P7,AppClose,0.12464986,0.007509584,group4
190,market1,IOS APP,P7,B3,0.133403361,0.007509584,group4
191,market1,IOS APP,P7,P6,0.6267507,0.007509584,group4
192,market1,IOS APP,P7,P5,0.042717087,0.007509584,group4
193,market1,IOS APP,P7,P23,0.015406162,0.007509584,group4
194,market1,IOS APP,P7,P11,0.026260504,0.007509584,group4
195,market1,IOS APP,P7,P20,0.007002801,0.007509584,group4
196,market1,IOS APP,P7,P19,0.007703081,0.007509584,group4
197,market1,IOS APP,P7,P16,0.00105042,0.007509584,group4
198,market1,IOS APP,P7,P15,0.007002801,0.007509584,group4
199,market1,IOS APP,P7,P1,0.00245098,0.007509584,group4
200,market1,IOS APP,P7,P4,0.00140056,0.007509584,group4
201,market1,IOS APP,P7,P14,0.00210084,0.007509584,group4
202,market1,IOS APP,P7,P21,0.00035014,0.007509584,group4
203,market1,IOS APP,P7,P18,0.00070028,0.007509584,group4
204,market1,IOS APP,P7,P10,0.00035014,0.007509584,group4
205,market1,IOS APP,P7,P24,0.00035014,0.007509584,group4
206,market1,IOS APP,P7,P12,0.00035014,0.007509584,group4
207,market1,IOS APP,P8,P10,0.999507177,0.042683151,group3
208,market1,IOS APP,P8,P14,0.000123206,0.042683151,group3
209,market1,IOS APP,P8,P9,0.000246412,0.042683151,group3
210,market1,IOS APP,P8,AppClose,0.000123206,0.042683151,group3
211,market1,IOS APP,P9,P22,0.964178312,0.059456134,group3
212,market1,IOS APP,P9,P10,0.035158323,0.059456134,group3
213,market1,IOS APP,P9,AppClose,4.42E-05,0.059456134,group3
214,market1,IOS APP,P9,P14,0.00030957,0.059456134,group3
215,market1,IOS APP,P9,P3,0.000221122,0.059456134,group3
216,market1,IOS APP,P9,P4,4.42E-05,0.059456134,group3
217,market1,IOS APP,P9,P21,4.42E-05,0.059456134,group3
218,market1,IOS APP,P10,AppClose,0.101358074,0.097774471,group3
219,market1,IOS APP,P10,P9,0.447976335,0.097774471,group3
220,market1,IOS APP,P10,P18,0.06806508,0.097774471,group3
221,market1,IOS APP,P10,P8,0.273147775,0.097774471,group3
222,market1,IOS APP,P10,P22,0.054080947,0.097774471,group3
223,market1,IOS APP,P10,P19,0.017345704,0.097774471,group3
224,market1,IOS APP,P10,P4,0.009466183,0.097774471,group3
225,market1,IOS APP,P10,P21,0.011241092,0.097774471,group3
226,market1,IOS APP,P10,P1,0.008793868,0.097774471,group3
227,market1,IOS APP,P10,P14,0.003684281,0.097774471,group3
228,market1,IOS APP,P10,P23,0.000699207,0.097774471,group3
229,market1,IOS APP,P10,P20,0.00115638,0.097774471,group3
230,market1,IOS APP,P10,P15,0.001263951,0.097774471,group3
231,market1,IOS APP,P10,P16,0.000268926,0.097774471,group3
232,market1,IOS APP,P10,P17,0.000564744,0.097774471,group3
233,market1,IOS APP,P10,B2,5.38E-05,0.097774471,group3
234,market1,IOS APP,P10,P12,0.000242033,0.097774471,group3
235,market1,IOS APP,P10,P24,0.000430281,0.097774471,group3
236,market1,IOS APP,P10,P2,8.07E-05,0.097774471,group3
237,market1,IOS APP,P10,P13,2.69E-05,0.097774471,group3
238,market1,IOS APP,P10,B1,2.69E-05,0.097774471,group3
239,market1,IOS APP,P10,P5,2.69E-05,0.097774471,group3
240,market1,IOS APP,P11,AppClose,0.468335788,0.001785367,group4
241,market1,IOS APP,P11,P7,0.30191458,0.001785367,group4
242,market1,IOS APP,P11,P6,0.114874816,0.001785367,group4
243,market1,IOS APP,P11,B3,0.033873343,0.001785367,group4
244,market1,IOS APP,P11,P15,0.027982327,0.001785367,group4
245,market1,IOS APP,P11,P23,0.020618557,0.001785367,group4
246,market1,IOS APP,P11,P5,0.017673049,0.001785367,group4
247,market1,IOS APP,P11,P16,0.002945508,0.001785367,group4
248,market1,IOS APP,P11,P19,0.004418262,0.001785367,group4
249,market1,IOS APP,P11,P1,0.002945508,0.001785367,group4
250,market1,IOS APP,P11,P4,0.001472754,0.001785367,group4
251,market1,IOS APP,P11,P20,0.002945508,0.001785367,group4
252,market1,IOS APP,P12,AppClose,0.252913753,0.002256031,group6
253,market1,IOS APP,P12,P21,0.255244755,0.002256031,group6
254,market1,IOS APP,P12,P14,0.247086247,0.002256031,group6
255,market1,IOS APP,P12,P1,0.231934732,0.002256031,group6
256,market1,IOS APP,P12,P15,0.006993007,0.002256031,group6
257,market1,IOS APP,P12,P13,0.001165501,0.002256031,group6
258,market1,IOS APP,P12,P10,0.001165501,0.002256031,group6
259,market1,IOS APP,P12,P19,0.002331002,0.002256031,group6
260,market1,IOS APP,P12,P22,0.001165501,0.002256031,group6
261,market1,IOS APP,P13,AppClose,0.198887344,0.001890543,group5
262,market1,IOS APP,P13,P21,0.481223922,0.001890543,group5
263,market1,IOS APP,P13,P1,0.112656467,0.001890543,group5
264,market1,IOS APP,P13,P4,0.189151599,0.001890543,group5
265,market1,IOS APP,P13,P15,0.002781641,0.001890543,group5
266,market1,IOS APP,P13,P14,0.001390821,0.001890543,group5
267,market1,IOS APP,P13,P12,0.011126565,0.001890543,group5
268,market1,IOS APP,P13,P19,0.002781641,0.001890543,group5
269,market1,IOS APP,P14,AppClose,0.215143665,0.022328918,group5
270,market1,IOS APP,P14,P21,0.459609044,0.022328918,group5
271,market1,IOS APP,P14,P1,0.195124823,0.022328918,group5
272,market1,IOS APP,P14,P13,0.077720207,0.022328918,group5
273,market1,IOS APP,P14,P12,0.019430052,0.022328918,group5
274,market1,IOS APP,P14,P4,0.025435704,0.022328918,group5
275,market1,IOS APP,P14,P15,0.000942063,0.022328918,group5
276,market1,IOS APP,P14,P19,0.004003768,0.022328918,group5
277,market1,IOS APP,P14,P10,0.000353274,0.022328918,group5
278,market1,IOS APP,P14,P20,0.000471032,0.022328918,group5
279,market1,IOS APP,P14,P22,0.000942063,0.022328918,group5
280,market1,IOS APP,P14,P18,0.000706547,0.022328918,group5
281,market1,IOS APP,P14,P16,0.000117758,0.022328918,group5
282,market1,IOS APP,P15,AppClose,0.65056774,0.033808905,group4
283,market1,IOS APP,P15,P4,0.165033442,0.033808905,group4
284,market1,IOS APP,P15,P3,0.07559496,0.033808905,group4
285,market1,IOS APP,P15,P19,0.046430238,0.033808905,group4
286,market1,IOS APP,P15,P2,0.023798413,0.033808905,group4
287,market1,IOS APP,P15,P23,0.002877586,0.033808905,group4
288,market1,IOS APP,P15,B3,0.001088816,0.033808905,group4
289,market1,IOS APP,P15,P14,0.006066262,0.033808905,group4
290,market1,IOS APP,P15,P20,0.004044175,0.033808905,group4
291,market1,IOS APP,P15,P11,0.001710997,0.033808905,group4
292,market1,IOS APP,P15,P1,0.007388396,0.033808905,group4
293,market1,IOS APP,P15,B2,0.002177633,0.033808905,group4
294,market1,IOS APP,P15,P16,0.000699953,0.033808905,group4
295,market1,IOS APP,P15,P8,0.002022087,0.033808905,group4
296,market1,IOS APP,P15,P9,0.001710997,0.033808905,group4
297,market1,IOS APP,P15,P10,0.003033131,0.033808905,group4
298,market1,IOS APP,P15,P21,0.001088816,0.033808905,group4
299,market1,IOS APP,P15,P18,0.00031109,0.033808905,group4
300,market1,IOS APP,P15,B1,0.000155545,0.033808905,group4
301,market1,IOS APP,P15,P5,0.000233318,0.033808905,group4
302,market1,IOS APP,P15,P22,0.000544408,0.033808905,group4
303,market1,IOS APP,P15,P6,0.001088816,0.033808905,group4
304,market1,IOS APP,P15,P7,0.001399907,0.033808905,group4
305,market1,IOS APP,P15,P24,0.000388863,0.033808905,group4
306,market1,IOS APP,P15,P12,0.000388863,0.033808905,group4
307,market1,IOS APP,P15,P17,0.000155545,0.033808905,group4
308,market1,IOS APP,P16,AppClose,0.453125,0.002019384,group4
309,market1,IOS APP,P16,B1,0.19921875,0.002019384,group4
310,market1,IOS APP,P16,P19,0.177083333,0.002019384,group4
311,market1,IOS APP,P16,P23,0.057291667,0.002019384,group4
312,market1,IOS APP,P16,P14,0.026041667,0.002019384,group4
313,market1,IOS APP,P16,P20,0.005208333,0.002019384,group4
314,market1,IOS APP,P16,P1,0.029947917,0.002019384,group4
315,market1,IOS APP,P16,P18,0.02734375,0.002019384,group4
316,market1,IOS APP,P16,P2,0.001302083,0.002019384,group4
317,market1,IOS APP,P16,P15,0.00390625,0.002019384,group4
318,market1,IOS APP,P16,P10,0.005208333,0.002019384,group4
319,market1,IOS APP,P16,P12,0.002604167,0.002019384,group4
320,market1,IOS APP,P16,P24,0.001302083,0.002019384,group4
321,market1,IOS APP,P16,P21,0.001302083,0.002019384,group4
322,market1,IOS APP,P16,P4,0.00390625,0.002019384,group4
323,market1,IOS APP,P16,P17,0.005208333,0.002019384,group4
324,market1,IOS APP,P17,P1,0.998442368,0.001688079,group4
325,market1,IOS APP,P17,P19,0.001557632,0.001688079,group4
326,market1,IOS APP,P18,P10,0.664367816,0.014869292,group4
327,market1,IOS APP,P18,AppClose,0.07515473,0.014869292,group4
328,market1,IOS APP,P18,P8,0.150839965,0.014869292,group4
329,market1,IOS APP,P18,P19,0.025641026,0.014869292,group4
330,market1,IOS APP,P18,P9,0.038549956,0.014869292,group4
331,market1,IOS APP,P18,P22,0.011847922,0.014869292,group4
332,market1,IOS APP,P18,P1,0.01025641,0.014869292,group4
333,market1,IOS APP,P18,P23,0.003713528,0.014869292,group4
334,market1,IOS APP,P18,P4,0.006012378,0.014869292,group4
335,market1,IOS APP,P18,P14,0.003713528,0.014869292,group4
336,market1,IOS APP,P18,P20,0.003536693,0.014869292,group4
337,market1,IOS APP,P18,P17,0.002829355,0.014869292,group4
338,market1,IOS APP,P18,P15,0.000530504,0.014869292,group4
339,market1,IOS APP,P18,P24,0.000707339,0.014869292,group4
340,market1,IOS APP,P18,B1,0.000176835,0.014869292,group4
341,market1,IOS APP,P18,P2,0.000176835,0.014869292,group4
342,market1,IOS APP,P18,P16,0.000707339,0.014869292,group4
343,market1,IOS APP,P18,P12,0.000353669,0.014869292,group4
344,market1,IOS APP,P18,P21,0.000884173,0.014869292,group4
345,market1,IOS APP,P19,P4,0.983893651,0.454332473,group4
346,market1,IOS APP,P19,AppClose,0.005301263,0.454332473,group4
347,market1,IOS APP,P19,P10,0.007436816,0.454332473,group4
348,market1,IOS APP,P19,P21,0.000706063,0.454332473,group4
349,market1,IOS APP,P19,P14,0.000607678,0.454332473,group4
350,market1,IOS APP,P19,P1,0.001035946,0.454332473,group4
351,market1,IOS APP,P19,P23,0.000225709,0.454332473,group4
352,market1,IOS APP,P19,P15,0.000196772,0.454332473,group4
353,market1,IOS APP,P19,P18,0.000254646,0.454332473,group4
354,market1,IOS APP,P19,P3,0.000104173,0.454332473,group4
355,market1,IOS APP,P19,P17,8.10E-05,0.454332473,group4
356,market1,IOS APP,P19,P16,2.31E-05,0.454332473,group4
357,market1,IOS APP,P19,P24,5.79E-06,0.454332473,group4
358,market1,IOS APP,P19,P12,2.31E-05,0.454332473,group4
359,market1,IOS APP,P19,P2,2.89E-05,0.454332473,group4
360,market1,IOS APP,P19,P20,7.52E-05,0.454332473,group4
361,market1,IOS APP,P23,AppClose,0.49453506,0.015637079,group4
362,market1,IOS APP,P23,B3,0.07196906,0.015637079,group4
363,market1,IOS APP,P23,P19,0.10290903,0.015637079,group4
364,market1,IOS APP,P23,P11,0.048932235,0.015637079,group4
365,market1,IOS APP,P23,P6,0.067260804,0.015637079,group4
366,market1,IOS APP,P23,P7,0.132671935,0.015637079,group4
367,market1,IOS APP,P23,P5,0.016310745,0.015637079,group4
368,market1,IOS APP,P23,P15,0.005549016,0.015637079,group4
369,market1,IOS APP,P23,P14,0.010593577,0.015637079,group4
370,market1,IOS APP,P23,P1,0.016815201,0.015637079,group4
371,market1,IOS APP,P23,P16,0.0084076,0.015637079,group4
372,market1,IOS APP,P23,P20,0.005717168,0.015637079,group4
373,market1,IOS APP,P23,P18,0.0042038,0.015637079,group4
374,market1,IOS APP,P23,P4,0.005549016,0.015637079,group4
375,market1,IOS APP,P23,P10,0.003867496,0.015637079,group4
376,market1,IOS APP,P23,P17,0.001849672,0.015637079,group4
377,market1,IOS APP,P23,P21,0.001177064,0.015637079,group4
378,market1,IOS APP,P23,B1,0.000168152,0.015637079,group4
379,market1,IOS APP,P23,P24,0.000672608,0.015637079,group4
380,market1,IOS APP,P23,P12,0.000504456,0.015637079,group4
381,market1,IOS APP,P23,P2,0.000168152,0.015637079,group4
382,market1,IOS APP,P23,P3,0.000168152,0.015637079,group4
383,market1,IOS APP,P20,AppClose,0.36122264,0.020301645,group4
384,market1,IOS APP,P20,P19,0.255795881,0.020301645,group4
385,market1,IOS APP,P20,P2,0.25877477,0.020301645,group4
386,market1,IOS APP,P20,P15,0.017743816,0.020301645,group4
387,market1,IOS APP,P20,P4,0.029141303,0.020301645,group4
388,market1,IOS APP,P20,B2,0.01087942,0.020301645,group4
389,market1,IOS APP,P20,B3,0.003237923,0.020301645,group4
390,market1,IOS APP,P20,P1,0.016189613,0.020301645,group4
391,market1,IOS APP,P20,P7,0.008936666,0.020301645,group4
392,market1,IOS APP,P20,P14,0.009325217,0.020301645,group4
393,market1,IOS APP,P20,P23,0.005957777,0.020301645,group4
394,market1,IOS APP,P20,P24,0.003626473,0.020301645,group4
395,market1,IOS APP,P20,P10,0.003885507,0.020301645,group4
396,market1,IOS APP,P20,P6,0.002201787,0.020301645,group4
397,market1,IOS APP,P20,P18,0.008548116,0.020301645,group4
398,market1,IOS APP,P20,B1,0.000518068,0.020301645,group4
399,market1,IOS APP,P20,P12,0.000777101,0.020301645,group4
400,market1,IOS APP,P20,P16,0.000777101,0.020301645,group4
401,market1,IOS APP,P20,P17,0.001295169,0.020301645,group4
402,market1,IOS APP,P20,P21,0.000388551,0.020301645,group4
403,market1,IOS APP,P20,P3,0.000259034,0.020301645,group4
404,market1,IOS APP,P20,P5,0.000518068,0.020301645,group4
405,market1,IOS APP,P24,AppClose,0.263322884,0.008387806,group4
406,market1,IOS APP,P24,P4,0.509717868,0.008387806,group4
407,market1,IOS APP,P24,P3,0.08338558,0.008387806,group4
408,market1,IOS APP,P24,P19,0.040125392,0.008387806,group4
409,market1,IOS APP,P24,P1,0.035109718,0.008387806,group4
410,market1,IOS APP,P24,P2,0.00815047,0.008387806,group4
411,market1,IOS APP,P24,P20,0.012225705,0.008387806,group4
412,market1,IOS APP,P24,P23,0.00846395,0.008387806,group4
413,market1,IOS APP,P24,P10,0.008777429,0.008387806,group4
414,market1,IOS APP,P24,P14,0.009404389,0.008387806,group4
415,market1,IOS APP,P24,P15,0.005642633,0.008387806,group4
416,market1,IOS APP,P24,P18,0.00846395,0.008387806,group4
417,market1,IOS APP,P24,P22,0.000626959,0.008387806,group4
418,market1,IOS APP,P24,P16,0.001567398,0.008387806,group4
419,market1,IOS APP,P24,P17,0.003448276,0.008387806,group4
420,market1,IOS APP,P24,P13,0.00031348,0.008387806,group4
421,market1,IOS APP,P24,B2,0.00031348,0.008387806,group4
422,market1,IOS APP,P24,P12,0.000626959,0.008387806,group4
423,market1,IOS APP,P24,P21,0.00031348,0.008387806,group4
424,market1,IOS APP,P21,AppClose,0.24109589,0.032630931,group4
425,market1,IOS APP,P21,P19,0.303303787,0.032630931,group4
426,market1,IOS APP,P21,P4,0.135535858,0.032630931,group4
427,market1,IOS APP,P21,P3,0.041418211,0.032630931,group4
428,market1,IOS APP,P21,P20,0.033601934,0.032630931,group4
429,market1,IOS APP,P21,P1,0.088074134,0.032630931,group4
430,market1,IOS APP,P21,P14,0.060515713,0.032630931,group4
431,market1,IOS APP,P21,P23,0.018694601,0.032630931,group4
432,market1,IOS APP,P21,P2,0.011039484,0.032630931,group4
433,market1,IOS APP,P21,P15,0.007977438,0.032630931,group4
434,market1,IOS APP,P21,P10,0.020547945,0.032630931,group4
435,market1,IOS APP,P21,P12,0.005318292,0.032630931,group4
